test_id,motor,profile,speed_code,speed_value,voltage,direction,selection_start,selection_end,force_time_offset,duration_ms,mean_power_mw,peak_power_mw,mean_current_ma,peak_current_ma,energy_mj,max_thrust_n,mean_thrust_n
M1-BD-OFF-Rigid,M1,BD,OFF,0,0,Rigid,,,0,0,0,0,0,0,0,10.394,2.795
M1-BD-OFF-Spring,M1,BD,OFF,0,0,Spring,,,0,0,0,0,0,0,0,8.17,4.633
M1-CVL-4,M1,Constant,VL,100,4,N,1.784437440819465,32.40941286214749,0,30624.975421328025,534.3836059570312,1328.6729736328125,1.6443445682525635,344.1528015136719,16365.48496475634,4.42487,3.9141136482084686
M1-CVL-5,M1,Constant,VL,100,5,N,2.7964549099542726,28.398827014309784,-5,25602.37210435551,812.9724731445312,2079.942383,5.546503067016602,411.6034240722656,20814.022347178714,4.58833,3.6065074609375003
M1-CVL-6,M1,Constant,VL,100,6,N,1.693101562205686,27.211521331090694,0,25518.419768885007,1062.6336669921875,2919.607422,5.412050724029541,507.4456787109375,27116.731065532633,4.98875,3.577371055
M1-CL-4,M1,Constant,L,500,4,N,2.7427002315383318,13.24406262728489,2,10501.362395746557,363.6819763183594,1245.252197265625,-1.155830503,295.932373,3819.1551854581476,3.67124,3.2718819047619045
M1-CL-5,M1,Constant,L,500,5,N,2.8888544294466088,13.405909248606125,2.8,10517.054819159517,651.3059692382812,2054.637695,-1.650135994,371.2956237792969,6849.817753153598,4.61363,3.663762735849057
M1-CL-6,M1,Constant,L,500,6,N,1.8012078043816562,12.302805007167503,1,10501.597202785848,594.8461914,2328.837402,4.274355411529541,407.9466552734375,6246.836932735034,4.69575,4.046514
M1-CM-4,M1,Constant,M,2000,4,N,3.2192002597294183,6.0146096733350936,2.6999999999999997,2795.409413605675,340.1716309,1252.58252,6.153673172,300.1945801,950.9142897,3.89193,3.3438014285714286
M1-CM-5,M1,Constant,M,2000,5,N,3.546296830037282,6.327884933703448,3.3000000000000003,2781.5881036661663,574.1646728515625,2122.353759765625,5.245357036590576,377.0341797,1597.086780154704,5.16048,3.720405714285715
M1-CM-6,M1,Constant,M,2000,6,N,2.5372076537860466,5.325119769378862,2,2787.912115592815,636.2393798828125,2995.937012,8.483735084533691,501.2450866699219,1773.778863855226,5.06967,3.9639960714285714
M1-CH-4,M1,Constant,H,5000,4,N,3.2819547135420697,4.666932669688933,2.9,1384.977956146863,506.0788269042969,1373.0675048828125,-22.001688,336.92303466796875,700.9090718650413,4.89179,3.763812857142857
M1-CH-5,M1,Constant,H,5000,5,N,9.085806767945805,10.49803076814002,8.6,1412.2240001942146,836.6836547851562,2201.148193359375,62.20003128051758,427.5959473,1181.5896964095125,5.69087,4.413984999999999
M1-CH-6,M1,Constant,H,5000,6,N,2.8060908749501214,4.224168937453455,2.4,1418.0780625033335,804.4807129,2375.299560546875,-25.45358467,451.2468262,1140.8100164620998,5.42082,3.62193
M1-CVH-4,M1,Constant,VH,10000,4,N,1.7839740902907186,3.169850229597003,1.5,1385.8761393062844,297.56475830078125,1399.4578857421875,14.589784622192383,342.60272216796875,412.38900253974924,3.65357,2.588142857142857
M1-TVH-4,M1,Trapezoidal,VH,10000,4,N,1.945314241230872,6.349009464979273,1.6,4403.695223748402,364.3716735839844,1319.545166015625,12.877084732055664,321.0089111328125,1604.5799973347575,4.37235,3.5104127272727266
M1-CVH-4-R,M1,Constant,VH,10000,4,R,2.8652954269792508,4.281345772956012,0,1416.0503459767613,264.8292236328125,1396.4666748046875,12.060432434082031,342.0273438,375.0113828508013,,
M1-CVH-5,M1,Constant,VH,10000,5,N,2.527813298541075,3.916382145762985,2,1388.5688472219097,484.6572570800781,2270.942138671875,-11.06739712,428.2780456542969,672.9805674235989,4.83043,3.4486921428571433
M1-CVH-5-R,M1,Constant,VH,10000,5,R,3.213366427399779,4.614817816794707,0,1401.4513893949281,448.12054443359375,2268.956543,15.546234130859375,431.0856018066406,628.0184925939021,,
M1-CVH-6,M1,Constant,VH,10000,6,N,3.312547325844169,4.71036713,2.9,1397.819804467571,517.2512207,3302.484619140625,1.2863584756851196,493.9853820800781,723.0240957962097,5.17995,4.0369600000000005
M1-TVH-6,M1,Trapezoidal,VH,10000,6,N,2.4787517823179597,7.013015732141131,0,4534.263949823171,665.7662963867188,2944.386474609375,-11.62550831,444.7331543,3018.757598569473,,
M1-CVH-6-R,M1,Constant,VH,10000,6,R,1.560558499,2.941984541292337,0,1381.426042213197,482.0119934082031,3144.774658203125,15.98937988,472.1993713378906,665.8659066523658,,
